hours_studied,sleep_hours,class_attendance,grade
4.33,7.4,5,12.0
0.03,7.65,5,8.0
4.55,6.77,3,11.0
3.14,5.15,4,9.0
2.64,5.15,5,11.0
5.72,7.37,5,14.5
4.91,10.0,4,10.5
7.2,8.93,6,14.0
4.64,9.34,5,13.5
8.51,6.08,4,13.0
7.88,6.84,3,14.0
5.41,6.78,2,11.0
9.46,5.5,5,12.5
6.46,6.07,4,12.5
4.21,8.99,6,14.0
2.26,5.81,4,9.0
1.62,5.17,5,8.5
3.55,9.28,6,10.5
2.46,6.61,6,10.0
4.68,4.76,5,11.5
7.76,8.76,4,12.5
0.39,7.03,5,10.0
7.82,7.46,5,16.5
1.68,7.41,4,8.0
5.89,8.28,4,15.0
0.04,7.02,3,6.5
8.33,8.3,5,17.0
7.18,5.46,4,12.5
1.78,8.11,4,9.5
9.19,7.98,4,14.0
3.53,8.29,6,13.0
6.12,5.63,4,11.5
2.16,6.06,5,10.0
4.99,6.4,5,12.0
6.83,6.88,3,13.5
1.98,5.67,3,8.0
3.26,8.47,5,10.5
4.34,6.29,5,13.0
5.55,4.72,4,10.0
2.91,5.67,5,11.0
4.73,5.86,4,11.0
1.04,4.62,4,7.5
4.38,8.42,5,11.5
0.21,6.47,3,6.0
1.79,6.38,1,6.0
9.13,4.79,4,9.5
2.07,8.45,4,8.5
3.64,6.67,4,11.0
1.81,8.18,5,10.0
5.85,7.33,6,14.5
5.88,8.23,4,14.0
8.93,4.77,4,11.5
7.33,7.76,5,17.0
9.44,5.39,3,10.5
1.95,6.48,4,9.5
2.41,7.37,4,10.0
8.66,7.44,4,13.0
8.7,5.41,5,13.5
1.34,5.79,5,9.0
3.63,6.98,3,10.5
0.14,7.47,4,6.5
2.34,5.28,4,8.5
3.46,6.19,5,11.5
3.09,5.84,5,11.0
1.21,4.67,3,5.0
9.53,6.26,5,16.5
3.58,7.06,3,11.5
4.73,6.91,6,13.0
6.95,9.32,6,13.0
8.15,7.08,4,14.0
8.89,6.8,5,17.5
5.88,8.17,6,14.0
8.84,7.63,4,14.5
5.54,7.39,6,15.5
7.96,3.96,3,9.0
2.42,7.13,5,10.0
7.49,9.27,3,11.5
2.59,5.26,2,6.0
5.77,6.27,5,13.0
9.36,6.17,5,16.5
6.14,5.72,4,12.0
0.71,7.61,4,7.5
8.93,7.23,5,19.0
5.2,5.38,5,10.5
0.84,7.24,6,11.5
3.74,5.89,5,12.0
7.33,7.5,5,18.0
0.93,10.0,5,7.0
6.68,6.09,3,10.5
9.96,7.45,4,14.0
1.89,8.92,4,7.5
6.38,6.56,5,18.0
9.24,4.84,5,13.0
8.12,6.64,5,17.0
2.35,8.92,4,8.5
6.6,7.37,2,10.5
8.74,8.13,4,11.5
6.8,7.19,5,16.5
1.73,6.67,3,8.5
8.23,8.7,4,12.5
8.42,5.5,3,12.0
8.75,8.2,5,18.5
1.22,4.27,5,6.0
3.88,7.57,5,12.0
5.25,7.19,3,11.0
1.27,5.94,6,11.0
3.95,6.51,5,13.0
9.16,6.43,4,13.0
7.55,5.45,4,12.5
0.63,7.59,3,6.5
7.34,5.48,5,13.0
5.34,7.39,4,12.0
9.76,4.93,6,12.5
6.89,8.71,5,13.5
9.89,7.24,4,14.5
3.96,5.38,4,11.5
7.83,5.47,4,13.0
8.04,6.47,4,12.5
1.32,9.29,5,8.0
1.95,7.24,4,8.5
5.53,6.4,4,11.0
8.16,9.28,4,12.0
2.57,9.05,6,10.5
0.2,6.78,4,8.5
3.03,7.11,4,8.5
3.64,6.91,4,10.5
6.09,8.2,5,14.5
1.88,9.19,5,10.5
2.6,6.01,5,10.0
6.22,7.58,4,13.0
1.32,6.05,6,9.5
4.16,8.52,3,9.0
4.29,6.62,4,11.0
1.3,7.63,4,7.0
1.47,4.89,4,8.0
3.94,7.81,3,10.0
7.39,7.46,4,16.0
6.4,8.96,6,14.0
7.92,6.23,6,18.0
6.55,7.2,5,18.0
0.49,5.86,4,8.0
8.02,8.05,3,12.5
2.97,5.85,5,11.0
4.15,8.41,3,10.5
2.24,6.71,5,12.0
7.24,6.4,4,13.0
8.02,6.56,5,18.0
8.59,5.96,4,12.5
2.57,7.76,4,10.5
6.13,5.37,5,13.5
3.25,5.02,4,9.0
8.21,7.13,4,12.0
1.3,8.22,5,9.5
7.82,9.42,3,10.5
5.63,9.55,5,12.0
2.06,5.3,5,8.5
0.36,7.69,4,6.5
0.97,7.15,5,9.0
8.75,4.94,4,12.0
7.25,6.88,1,11.0
7.57,9.62,4,10.5
5.49,8.39,5,14.0
3.85,4.94,4,9.5
3.96,4.73,5,10.0
0.59,4.68,4,7.5
6.06,6.32,3,11.0
6.78,7.47,0,7.5
1.07,7.04,6,11.0
8.26,7.4,5,16.5
6.87,7.9,4,12.0
9.47,7.5,4,16.5
9.56,6.26,5,18.0
8.36,6.03,3,11.0
5.02,5.44,5,10.0
4.18,8.69,5,12.0
0.14,6.01,4,6.5
3.74,6.71,4,11.5
1.32,7.71,5,10.0
0.29,7.07,5,8.0
6.18,5.73,6,18.0
5.95,9.14,4,10.5
7.26,6.69,5,17.5
5.97,10.0,3,10.0
5.46,8.52,5,13.0
5.77,4.18,6,12.5
4.26,4.39,3,9.5
8.41,7.95,4,13.0
0.7,7.3,4,8.0
0.38,5.51,6,9.5
0.25,7.3,3,5.5
4.66,8.49,6,14.0
7.1,3.38,6,11.0
7.72,9.35,5,13.0
5.6,7.26,5,15.0
8.18,7.04,4,14.5
8.15,6.21,4,14.5
2.0,8.01,5,10.5
2.17,7.39,3,8.5
8.6,9.37,2,10.0
9.97,7.21,2,12.5
2.0,6.73,5,10.0
6.03,7.87,4,11.5
2.7,4.9,6,8.5
5.46,7.53,5,14.5
9.35,7.48,5,20.0
2.19,9.51,5,9.0
0.5,8.37,3,6.0
5.8,7.31,5,14.5
8.34,6.69,3,12.0
5.37,6.56,4,12.5
5.75,5.44,5,12.0
6.22,5.68,4,11.5
4.87,5.83,4,11.5
0.69,4.68,6,9.5
4.89,7.44,4,10.5
5.96,7.61,3,10.0
0.57,7.15,4,8.0
6.67,8.02,2,12.5
7.86,6.38,5,18.0
9.35,8.62,4,14.5
7.15,6.53,4,11.5
9.03,6.48,4,13.5
8.45,5.24,3,11.0
6.97,8.66,5,15.0
3.3,7.48,4,11.0
0.57,7.65,3,6.0
9.75,8.32,5,18.0
6.29,6.82,2,9.5
9.5,6.51,4,15.5
1.57,8.22,4,9.0
2.22,7.05,5,11.0
5.69,7.93,4,11.5
2.84,7.15,6,13.5
0.22,9.09,4,5.5
6.56,6.78,6,18.0
1.94,7.49,5,11.0
8.54,4.25,3,8.5
1.04,8.02,4,8.5
3.43,7.08,6,12.5
3.18,6.54,5,12.0
2.67,4.85,4,7.5
5.6,7.6,4,13.0
5.36,8.06,6,14.0
0.91,7.66,6,9.5
3.89,9.36,3,9.5
4.61,6.47,4,11.5
8.66,4.5,5,12.0
7.81,6.59,2,11.5
8.24,7.72,3,12.5
6.17,7.03,6,17.5
5.11,6.89,4,12.0
9.45,7.63,3,12.5
4.96,5.51,4,11.5
4.73,7.84,4,12.0
5.77,8.52,5,13.0
3.03,7.3,4,9.0
8.83,6.87,4,13.5
5.23,8.31,5,14.0
5.51,7.89,3,10.5
2.2,9.42,3,6.0
5.48,6.8,3,12.0
5.22,7.9,2,9.0
2.44,7.13,6,12.0
4.28,5.38,5,11.5
0.98,7.0,3,8.0
2.21,5.41,3,8.5
9.11,5.85,4,12.5
8.78,6.69,5,17.0
8.3,7.59,4,13.5
7.21,8.04,5,17.5
3.24,7.57,3,9.5
0.76,8.58,5,9.0
7.29,5.91,4,13.5
1.76,5.9,5,8.0
6.95,7.01,3,12.0
7.74,8.07,5,17.5
3.79,6.58,5,13.0
0.53,6.29,4,7.5
6.28,7.05,5,17.0
4.18,5.87,3,10.0
0.62,8.19,4,7.0
3.99,6.72,3,10.5
9.26,6.58,6,19.0
2.1,5.15,5,9.0
8.62,5.96,4,12.5
4.72,7.81,4,10.5
6.2,6.72,3,13.0
2.74,6.61,5,13.0
3.48,7.45,4,9.5
0.63,10.0,4,6.0
0.89,7.09,3,6.5
5.09,5.65,5,13.0
2.52,6.36,4,10.5
7.68,7.13,5,17.0
3.48,5.52,1,6.0
8.67,5.73,4,12.0
8.21,6.85,4,13.5
2.16,7.68,4,12.0
1.17,7.17,5,10.5
3.23,7.24,5,11.0
5.59,6.49,4,12.0
8.49,3.41,6,9.5
9.79,5.32,6,14.0
7.86,5.98,4,13.5
3.28,6.96,5,13.0
9.78,6.15,4,13.5
9.0,5.64,4,11.5
5.17,5.95,4,11.0
3.91,3.33,3,7.0
3.75,7.54,5,12.5
9.84,6.8,2,13.5
3.92,6.06,5,12.0
6.44,6.54,3,13.0
1.21,8.25,5,9.5
1.13,7.78,4,8.5
7.27,5.08,4,9.5
8.72,6.96,4,14.0
5.61,7.03,3,12.0
8.5,5.77,4,12.5
0.05,7.52,4,8.0
3.77,6.73,4,10.5
0.28,7.9,4,6.5
3.9,8.14,4,10.5
3.12,6.73,6,12.0
3.61,6.55,5,13.0
1.53,6.96,5,10.0
7.47,5.15,4,10.0
9.95,8.11,5,18.0
0.04,6.33,3,7.0
6.44,8.43,2,9.5
3.3,6.32,4,9.5
5.43,3.77,2,5.5
4.24,6.95,4,12.5
9.69,6.24,4,12.5
1.99,7.55,4,9.0
6.04,4.1,5,11.5
7.25,6.22,6,18.0
1.31,9.23,4,7.5
6.81,7.8,5,18.5
8.27,5.9,5,16.0
4.42,9.01,4,11.5
0.95,6.96,4,8.5
1.27,5.05,5,9.5
4.75,10.0,4,10.0
7.3,8.57,4,13.5
6.24,7.56,6,18.0
1.04,8.58,5,10.0
3.33,7.99,5,12.0
2.86,9.11,5,10.0
3.46,5.24,6,11.0
1.16,8.98,4,6.5
5.0,6.01,5,13.0
3.47,5.02,6,10.5
7.24,7.06,3,12.5
0.86,9.95,5,7.0
1.98,7.38,6,12.0
0.46,6.42,4,6.5
3.64,6.35,5,12.0
7.9,9.43,4,13.0
1.25,6.4,5,10.5
4.21,5.47,3,9.0
6.81,6.24,3,13.0
1.44,5.9,6,10.5
0.18,6.66,5,9.5
0.19,3.35,4,3.0
5.73,5.62,4,11.0
2.89,5.61,3,8.0
6.72,7.37,4,15.5
2.09,7.55,4,8.5
5.1,7.47,6,14.0
8.93,8.29,4,13.0
5.94,5.27,5,13.0
6.33,8.05,4,13.5
9.55,7.64,5,19.0
3.44,7.17,3,10.0
4.49,5.28,5,12.0
6.45,6.19,4,13.0
4.62,6.55,1,9.0
5.9,6.03,4,12.5
0.05,7.06,4,7.0
5.43,9.56,5,13.5
2.56,5.36,3,8.0
3.7,3.98,5,9.0
7.88,5.26,6,14.5
3.28,4.8,3,7.0
8.67,6.29,4,13.0
6.8,5.77,5,17.0
7.52,9.61,5,11.5
6.17,6.81,5,17.5
9.75,9.23,4,12.5
9.1,8.09,4,12.5
8.9,4.53,5,12.0
7.59,6.53,2,11.0
0.43,5.08,3,6.5
0.36,6.55,4,7.0
8.08,9.36,2,11.0
9.78,6.47,6,18.5
6.59,8.02,2,11.0
3.89,5.05,4,9.0
6.37,6.6,4,12.0
1.9,9.68,6,9.0
4.1,5.35,6,12.5
3.71,7.48,4,11.5
2.85,5.26,4,10.5
1.66,6.88,4,8.0
9.38,5.4,3,11.0
9.92,9.18,3,12.5
5.61,4.44,2,8.5
5.58,5.94,5,12.5
9.62,7.42,5,17.5
6.8,6.96,5,17.0
0.49,4.96,4,5.5
2.88,6.18,6,11.5
4.03,6.83,5,12.5
3.93,6.43,6,13.5
2.2,6.31,4,9.5
3.93,7.12,3,9.5
7.12,5.06,5,12.5
7.92,7.5,2,12.0
8.7,5.15,4,14.0
1.83,4.89,5,8.0
4.3,7.45,5,14.0
1.5,6.82,3,9.0
2.76,4.58,3,5.5
0.6,6.45,5,9.0
6.33,8.39,5,18.0
2.93,5.56,2,6.5
9.01,7.6,4,14.5
2.9,5.69,3,9.0
0.84,6.89,4,8.0
4.49,7.57,4,12.5
2.1,9.53,3,8.0
6.19,8.83,4,12.0
5.37,8.42,6,13.5
9.26,5.89,2,11.5
3.23,7.74,5,11.0
7.48,8.69,5,12.5
7.98,6.87,5,17.0
0.51,6.71,3,7.5
2.6,8.01,4,10.5
7.43,5.21,3,9.5
6.42,7.96,5,17.0
6.71,9.69,5,13.0
4.23,6.61,3,9.5
0.49,7.21,5,9.5
2.28,2.81,4,4.0
4.75,8.37,2,9.5
4.05,8.88,4,10.0
8.5,4.88,5,11.5
8.53,7.7,5,18.0
9.53,4.86,3,11.5
9.89,8.0,3,11.5
8.87,4.43,5,10.5
6.41,7.17,4,12.5
4.72,8.99,5,11.5
1.91,6.5,2,7.5
0.78,7.3,3,6.5
5.74,8.43,5,11.5
6.69,6.48,3,13.0
6.17,3.16,5,9.0
0.85,6.37,6,11.0
8.19,7.08,5,18.0
0.35,8.76,5,8.0
5.6,6.39,5,11.5
1.06,3.97,4,5.5
9.99,5.72,5,17.0
6.25,6.15,5,17.0
2.98,7.03,4,10.0
8.74,7.38,3,14.0
6.8,7.62,4,12.5
2.56,5.58,2,6.5
8.84,7.37,6,19.5
9.78,4.93,4,13.5
5.37,8.34,4,12.0
6.25,6.31,5,16.5
4.34,6.68,5,14.0
0.9,7.22,5,9.5
8.69,7.08,3,13.0
1.41,4.44,3,7.0
6.64,5.17,5,12.0
4.56,5.82,3,10.0
2.63,4.4,4,8.5
7.37,10.0,4,11.5
8.29,7.31,4,13.0
8.18,3.53,3,8.0
1.98,7.73,5,10.0
5.58,6.98,5,12.0
1.67,7.02,4,9.5
7.5,8.78,4,12.5
2.67,5.7,5,9.0
8.74,5.23,5,12.5
0.07,7.29,4,7.0
1.26,6.85,5,10.5
1.02,6.14,2,6.5
2.58,4.45,4,10.0
5.83,6.38,4,13.5
8.37,7.69,4,12.5
6.38,7.7,4,12.5
6.91,7.45,5,16.5
1.08,5.24,3,7.0
2.1,7.69,3,8.0
8.15,7.03,5,17.5
6.91,8.67,5,13.5
9.44,7.28,3,13.5
1.59,7.95,4,9.5
1.32,7.08,3,9.0
2.62,4.05,3,5.5
7.94,7.03,5,17.5
5.08,6.34,4,12.0
6.16,7.2,5,16.0
1.74,6.64,5,10.5
6.05,6.73,2,11.0
5.56,7.87,4,12.5
6.75,6.64,4,14.5
4.42,9.32,5,12.5
6.42,5.62,5,14.0
4.25,5.52,6,11.5
5.59,7.6,3,12.0
2.51,7.49,5,12.5
0.43,6.52,5,8.0
1.81,7.6,2,6.5
1.95,5.68,4,8.5
0.75,6.74,5,9.5
9.13,4.59,4,11.5
1.41,7.84,5,9.0
8.79,4.98,6,14.0
9.46,7.11,4,13.5
8.86,4.97,5,13.0
9.91,6.06,3,11.0
8.65,7.7,4,14.0
7.06,5.83,3,12.0
8.16,6.55,3,13.0
3.69,6.19,4,12.0
3.0,7.99,5,11.5
8.63,6.83,2,10.5
5.94,8.86,5,15.0
0.71,7.67,6,10.5
5.04,6.03,4,10.0
4.64,6.77,2,8.0
9.8,6.13,5,17.0
5.6,5.76,4,12.5
9.12,7.78,5,18.5
0.51,9.19,4,8.5
2.86,6.85,5,11.5
6.43,6.08,6,17.0
6.08,5.54,4,11.0
6.78,5.93,5,16.5
1.56,6.93,2,6.0
3.39,6.88,6,12.0
7.75,6.52,5,16.0
0.68,6.16,4,5.0
2.48,7.23,6,13.0
4.94,7.38,4,11.0
1.24,7.96,3,6.5
1.36,6.68,5,9.0
6.21,8.26,6,17.5
5.08,5.89,5,13.0
3.03,5.44,5,9.0
7.07,6.72,4,13.0
4.18,5.52,4,9.5
1.39,5.17,4,8.0
5.13,7.35,5,13.0
1.1,9.68,4,7.0
9.92,8.0,5,19.0
6.33,6.08,2,9.5
1.58,6.48,2,8.0
5.76,8.76,5,12.0
3.62,9.25,4,10.5
7.49,7.5,4,12.5
9.1,6.24,3,11.0
5.66,9.36,6,12.5
4.09,5.78,2,9.0
1.3,8.78,4,7.0
2.77,5.89,5,10.0
5.06,6.71,5,12.5
2.88,6.76,2,7.0
2.69,6.1,3,8.5
3.96,8.72,5,13.0
2.03,7.03,4,10.0
3.85,8.38,3,8.5
6.82,7.19,5,16.0
7.47,7.85,5,18.0
0.28,5.95,5,8.5
7.84,6.6,3,12.0
8.04,8.11,2,10.5
6.09,5.94,4,12.0
3.95,6.64,4,12.5
8.8,9.57,6,15.5
1.17,5.77,3,7.0
7.91,7.0,4,14.0
7.56,6.94,6,18.5
8.35,8.09,5,17.5
7.47,10.0,4,11.0
1.12,6.12,2,7.0
0.25,5.61,4,6.5
7.43,6.63,3,12.5
6.96,7.41,2,11.0
5.37,6.98,5,13.5
1.27,6.64,5,9.5
1.91,4.61,5,9.5
5.2,5.92,5,12.5
6.94,7.31,5,17.0
9.67,7.19,2,13.5
6.21,6.24,5,16.5
8.81,4.57,3,10.0
8.19,7.79,4,14.0
0.72,7.09,3,7.5
7.49,3.87,5,11.0
9.17,9.03,3,13.5
8.88,6.53,3,12.0
6.62,7.99,3,10.5
5.56,7.71,3,11.0
5.27,9.68,4,12.0
5.93,5.43,2,9.0
3.43,7.17,4,10.0
7.03,8.32,5,16.5
7.65,4.18,5,11.5
2.7,5.89,6,11.0
3.11,5.12,6,13.0
3.21,6.82,4,10.0
7.11,7.64,2,11.0
6.33,5.99,4,11.0
5.41,6.8,3,11.0
8.11,4.54,4,10.0
0.46,7.92,2,4.0
3.13,8.27,4,9.5
9.89,6.55,4,12.0
1.45,6.19,4,9.0
9.0,7.73,4,14.0
7.06,8.63,4,13.0
3.98,6.53,5,13.0
4.63,6.25,4,10.5
5.67,6.91,3,12.0
8.14,7.59,4,13.5
4.08,7.43,5,12.5
0.74,7.86,3,7.5
8.92,8.67,4,13.5
0.47,5.94,4,8.5
7.73,8.95,2,10.5
8.48,5.8,4,12.5
7.52,6.56,4,12.5
2.83,8.55,3,10.0
0.06,7.19,5,6.5
5.28,3.85,4,8.5
4.08,5.56,6,13.5
3.71,4.17,5,11.0
0.36,6.36,4,8.0
4.88,7.1,4,13.0
9.49,6.58,6,19.5
6.22,7.15,3,10.5
4.11,7.08,5,12.5
1.55,7.75,6,10.5
6.92,6.16,5,16.5
5.77,7.43,6,14.0
9.18,5.37,5,14.0
3.36,8.0,4,9.5
4.12,7.34,3,10.0
1.75,7.51,4,9.0
5.64,10.0,4,12.0
9.98,6.27,4,13.5
2.01,7.79,5,10.5
1.34,9.46,6,11.0
1.4,6.69,5,9.5
3.26,9.51,5,10.0
9.07,6.43,6,17.0
3.31,6.33,4,10.0
4.6,7.41,4,11.5
9.45,6.03,3,13.5
3.82,8.18,6,12.0
4.21,6.7,4,11.5
9.45,9.22,4,13.5
2.8,6.32,5,10.5
1.88,8.63,3,8.5
7.29,7.73,5,18.0
4.13,9.47,5,10.5
5.78,9.44,4,12.5
9.58,5.57,5,17.5
7.61,7.76,6,19.5
4.54,5.44,5,11.5
1.42,8.28,6,9.0
8.45,6.22,3,13.0
5.93,7.85,1,6.5
0.87,8.87,4,6.5
9.69,7.16,3,13.5
3.87,6.8,6,13.5
0.36,7.41,4,9.0
9.45,5.45,5,15.0
6.14,7.12,2,10.5
4.54,7.14,4,11.5
4.58,7.7,4,12.0
9.54,7.58,4,13.5
3.0,8.32,2,10.0
3.56,7.62,4,11.0
1.51,5.94,4,7.0
2.34,7.47,5,12.0
0.47,7.62,5,8.5
3.49,5.64,5,11.5
7.86,6.37,5,17.5
4.63,7.48,5,12.5
5.07,6.63,3,10.0
6.71,5.23,5,13.0
